DateSeen,Company,Title,Location,MinYOE,Referral,URL,Posted,FitScore,FitReason,GapNote,Status,AppliedDate,FollowUpDate
2026-09-11,Okta, Senior Software Engineer in Test,"Bengaluru, India",4,,https://www.okta.com/company/careers/opportunity/7744555?gh_jid=7744555,2026-09-11,69,"Overlap: rag, python, java","Watch: scala, rust",New,,
2026-09-11,Apollo.io,Senior Backend Engineer II,"Hybrid, Bangalore",3,,https://job-boards.greenhouse.io/apolloio/jobs/6130765004,2026-09-10,66,"Overlap: rag, microservice, restful","Watch: go, scala, rust",New,,
2026-09-11,Okta,Senior Fullstack Engineer (Java + React.js),"Bengaluru, India",5,,https://www.okta.com/company/careers/opportunity/8185311?gh_jid=8185311,2026-09-10,63,"Overlap: spring boot, kafka, java",Asks 5+ years,New,,
2026-09-11,Mindtickle,"Software Engineer, Business Systems","Pune, Maharashtra",2,,https://jobs.lever.co/mindtickle/b6e024c2-42c2-463c-8bc8-ca0aa0826845,2026-09-09,60,"Overlap: rag, python, aws",Watch: go,New,,
2026-09-11,GitLab,"Senior Software Engineer, NLP","Bangalore, India",,,https://job-boards.greenhouse.io/gitlab/jobs/8785285002,2026-09-09,46,"Overlap: python, llm, agentic","Watch: go, rust",New,,
2026-09-11,GoDaddy,Senior Software Engineer,India,5,,https://careers.godaddy/jobs?gh_jid=7980665003,2026-09-10,45,"Overlap: rag, java, node.js",Asks 5+ years,New,,
2026-09-11,Oracle,Software Developer 3,"BENGALURU, KARNATAKA, India",,,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/335801,2026-09-10,34,No direct stack overlap detected,Stack not recognised from description,New,,
2026-09-11,Oracle,Senior Core Infrastructure Engineer,"BENGALURU, KARNATAKA, India",,,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/342929,2026-09-09,28,No direct stack overlap detected,Stack not recognised from description,New,,
2026-09-11,Oracle,Senior Core Infrastructure Engineer,India,,,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/343151,2026-09-10,28,No direct stack overlap detected,Stack not recognised from description,New,,
2026-09-11,RemoteStar,Backend Engineer (Java+AWS+AI),India,,,https://remotestar-team.freshteam.com/jobs#backend-engineer-java-aws-ai,,47,"Overlap: java, aws",No blocking gap detected,New,,
